ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_x_pred,ship_1_y_pred,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,ship_3_x,ship_3_y,ship_3_u,ship_3_psi,ship_3_wp,ship_3_x_pred,ship_3_y_pred,time
275000.0,7044500.0,10.0,1.5707963267948966,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279993.11,7048005.79,9.0,2.44,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271566.86575394083,7054746.903609267,277497.22,7046008.56,9.0,1.88,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273346.9736289585,7055969.287589188,0
275000.0,7044500.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279993.11,7048005.79,9.0,2.44,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271566.86575394083,7054746.903609267,277494.44,7046017.12,9.0,1.88,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273343.6344428423,7055977.614344084,1
275000.0,7044510.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279986.21,7048011.57,9.0,2.44,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271559.85808001785,7054752.548972113,277491.66,7046025.68,9.0,1.89,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273340.22453698056,7055985.951576133,2
275000.0,7044520.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279972.42,7048023.14,9.0,2.44,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271545.8448685057,7054763.839850856,277488.87,7046034.24,9.0,1.89,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273336.88109262404,7055994.280671113,3
275000.0,7044530.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279972.42,7048023.14,9.0,2.44,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271545.8448685057,7054763.839850856,277488.87,7046034.24,9.0,1.89,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273336.88109262404,7055994.280671113,4
275000.0,7044540.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279972.42,7048023.14,9.0,2.44,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271545.8448685057,7054763.839850856,277483.27,7046051.34,9.0,1.89,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273330.1920458628,7056010.926199583,5
275000.0,7044540.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279951.72,7048040.48,9.0,2.45,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271524.7731958319,7054780.740319638,277480.45,7046059.89,9.0,1.89,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273326.84060419945,7056019.2543716105,6
275000.0,7044560.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279944.82,7048046.25,9.0,2.45,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271517.768874492,7054786.379855977,277474.76,7046076.97,9.0,1.9,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273320.05948814744,7056035.915086112,7
275000.0,7044570.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279944.82,7048046.25,9.0,2.45,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271517.768874492,7054786.379855977,277474.76,7046076.97,9.0,1.9,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273320.05948814744,7056035.915086112,8
275000.0,7044580.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,1.0,279937.91,7048052.02,9.0,2.45,"[[280000, 7048000, 9.0], [270000, 7056000, 9.0]]",271510.7577127378,7054792.023339877,277471.88,7046085.49,9.0,1.9,"[[277500, 7046000, 9.0], [272500, 7058000, 9.0]]",273316.69766170543,7056044.23389678,9
